R	53.3777	-6.34591	D317	14 Oct 2020	D317\n19:30 - Docklands to M3 Parkway (3 mins late)\nDeparted Navan Road Parkway next stop Castleknock	Northbound
R	53.3777	-6.34591	P759	14 Oct 2020	P759\n19:20 - Maynooth to Dublin Connolly (0 mins late)\nArrived Navan Road Parkway next stop Ashtown	Southbound
R	53.3786	-6.19131	E839	14 Oct 2020	E839\n18:34 - Greystones to Malahide (2 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.3786	-6.19131	E949	14 Oct 2020	E949\n23:00 - Bray to Howth (0 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3815	-6.17699	E128	14 Oct 2020	E128\n19:30 - Malahide to Greystones (0 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.392	-6.11448	E707	14 Oct 2020	E707\n23:55 - Howth to Dublin Connolly (0 mins late)\nArrived Sutton next stop Bayside	Southbound
R	53.392	-6.11448	E939	14 Oct 2020	E939\n18:35 - Bray to Howth (1 mins late)\nDeparted Sutton next stop Howth	Northbound
T	53.0371	-7.30086	D215	14 Oct 2020	D215\n18:25 - Dublin Heuston to Portlaoise(1 mins late)\nTERMINATED Portlaoise at 19:38	To Portlaoise
T	53.3397	-6.23773	P418	14 Oct 2020	P418\n18:55 - Hazelhatch to Grand Canal Dock(6 mins late)\nTERMINATED Grand Canal Dock at 19:43	Northbound
T	53.3433	-6.24829	P675	14 Oct 2020	P675\n18:40 - Maynooth to Dublin Pearse(11 mins late)\nTERMINATED Dublin Pearse at 19:37	Southbound
T	53.3531	-6.24591	P771	14 Oct 2020	P771\n19:10 - M3 Parkway to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 19:41	Southbound
